"","Name","Sales"
"2038","Mario Party Advance",0.98
"2039","NHL 07",0.98
"2040","Scribblenauts: Unlimited",0.98
"2041","Speed Racer: The Videogame",0.98
"2042","Tamagotchi Connection: Corner Shop 2",0.98
"2043","Tetris 2",0.98
"2044","The BIGS 2",0.98
"2045","The Black Eyed Peas Experience",0.98
"2046","World Series of Poker",0.98
"2047","Ty the Tasmanian Tiger 2: Bush Rescue",0.97
"2048","Cabela's Deer Hunt: 2004 Season",0.97
"2049","Club Penguin: Game Day!",0.97
"2050","de Blob",0.97
"2051","Def Jam Rapstar",0.97
"2052","Donkey Kong Junior",0.97
"2053","Dynasty Warriors: Strikeforce",0.97
"2054","Fire Emblem",0.97
"2055","Guitar Hero: Van Halen",0.97
"2056","Knockout Kings 2001",0.97
"2057","MTV Celebrity Deathmatch",0.97
"2058","Tales of Zestiria",0.97
"2059","Boogie",0.96
"2060","Dance Dance Revolution 2nd ReMIX",0.96
"2061","Dark Cloud 2",0.96
"2062","Dragon Quest Monsters: Terry's Wonderland 3D",0.96
"2063","F1 2013",0.96
"2064","FIFA Soccer 2002",0.96
"2065","Gangs of London",0.96
"2066","Jampack Summer '99",0.96
"2067","Kill.Switch",0.96
"2068","Mega Man Star Force Dragon / Leo / Pegasus",0.96
"2069","MotoGP 08",0.96
"2070","My Weight Loss Coach",0.96
"2071","NASCAR Heat 2002",0.96
"2072","One Piece: Pirate Warriors 3",0.96
"2073","PilotWings Resort",0.96
"2074","Rayman 2: The Great Escape",0.96
"2075","Star Soldier",0.96
"2076","Tokimeki Memorial: Forever with You",0.96
"2077","Doom",0.95
"2078","F1 2015",0.95
"2079","Hot Wheels: Beat That!",0.95
"2080","Legends of WrestleMania",0.95
"2081","BlazBlue: Calamity Trigger",0.95
"2082","Dark Sector",0.95
"2083","Just Dance Kids 2",0.95
"2084","Kessen",0.95
"2085","NCAA Football 2000",0.95
"2086","Sengoku Basara: Samurai Heroes",0.95
"2087","Wii Play: Motion",0.95
"2088","Wild ARMs",0.95
"2089","Yu-Gi-Oh! Worldwide Edition: Stairway to the Destined Duel",0.95
"2090","Are You Smarter than a 5th Grader? Make the Grade",0.94
"2091","Baldur's Gate: Dark Alliance II",0.94
"2092","Barbie Horse Adventures: Riding Camp",0.94
"2093","How to Train Your Dragon 2",0.94
"2094","Plants vs. Zombies: Garden Warfare 2",0.94
"2095","Red Faction: Armageddon",0.94
"2096","WipeOut 3 The Game",0.94
"2097","Bully",0.94
"2098","Castlevania: Lament of Innocence",0.94
"2099","Charlie and the Chocolate Factory",0.94
"2100","Hot Shots Golf Fore!",0.94
"2101","Killzone",0.94
"2102","Mario Tennis Open",0.94
"2103","Mega Man 8 Anniversary Collector's Edition",0.94
"2104","Midway Presents Arcade's Greatest Hits: The Atari Collection 1",0.94
"2105","MLB 2000",0.94
"2106","Phantasy Star Portable",0.94
"2107","SaGa Frontier 2",0.94
"2108","Star Fox 64 3D",0.94
"2109","Star Wars: Jedi Starfighter",0.94
"2110","The Legend of Zelda: Twilight Princess HD",0.94
"2111","The Tomb Raider Trilogy",0.94
"2112","Tom Clancy's HAWX 2",0.94
"2113","Bentley's Hackpack",0.93
"2114","Build-A-Bear Workshop",0.93
"2115","Buzz! Quiz World",0.93
"2116","Castlevania II: Simon's Quest",0.93
"2117","Colin McRae Rally 2.0",0.93
"2118","Crash City Mayhem",0.93
"2119","Dungeon Siege III",0.93
"2120","EA Sports Grand Slam Tennis",0.93
"2121","Marvel Super Hero Squad: The Infinity Gauntlet",0.93
"2122","Mega Man 4",0.93
"2123","Mystery Dungeon: Shiren the Wanderer",0.93
"2124","Nickelodeon Fit",0.93
"2125","Pokken Tournament",0.93
"2126","SnoCross Championship Racing",0.93
"2127","White Knight Chronicles: International Edition",0.93
"2128","NieR",0.93
"2129","Balloon Fight",0.92
"2130","Blue Dragon",0.92
"2131","Cabela's Outdoor Adventures (2009)",0.92
"2132","Disney Magical World",0.92
"2133","ESPN NFL Football",0.92
"2134","Lost Odyssey",0.92
"2135","NHL 98",0.92
"2136","One Piece: Unlimited World Red",0.92
"2137","Space Jam",0.92
"2138","Tales of Destiny 2",0.92
"2139","The Incredible Hulk: Ultimate Destruction",0.92
"2140","Tobal No.1",0.92
"2141","Wipeout: In The Zone",0.92
"2142","Jimmy Neutron: Boy Genius",0.92
"2143","AC/DC LIVE: Rock Band Track Pack",0.91
"2144","Dragon's Crown",0.91
"2145","Dragon Ball Z: Sagas",0.91
"2146","Family Feud: 2010 Edition",0.91
"2147","FIFA Soccer 2004",0.91
"2148","From Russia With Love",0.91
"2149","Harvest Moon 3D: A New Beginning",0.91
"2150","Super Momotarou Dentetsu III",0.91
"2151","Tokyo Xtreme Racer 3",0.91
"2152","Yakuza",0.91
"2153","NHL 06",0.91
"2154","XIII",0.91
"2155","3Xtreme",0.9
"2156","Buzz! Quiz TV",0.9
"2157","Destruction Derby",0.9
"2158","FIFA Soccer 09 All-Play",0.9
"2159","Fossil Fighters",0.9
"2160","Hot Shots Tennis",0.9
"2161","LittleBigPlanet Karting",0.9
"2162","Mini-Yonku Shining Scorpion: Let's & Go!!",0.9
"2163","MLB 2005",0.9
"2164","NASCAR 06: Total Team Control",0.9
"2165","Resistance: Retribution",0.9
"2166","Samba De Amigo",0.9
"2167","Shrek: Forever After",0.9
"2168","SOCOM 4: U.S. Navy SEALs",0.9
"2169","The Biggest Loser: Ultimate Workout",0.9
"2170","Tiger Woods PGA Tour 2002",0.9
"2171","TouchMaster 2",0.9
"2172","Viewtiful Joe",0.9
"2173","We Ski & Snowboard",0.9
"2174","F.E.A.R.",0.89
"2175","Ace Combat 2",0.89
"2176","Cabela's Big Game Hunter (2008)",0.89
"2177","Cabela's Big Game Hunter 2012",0.89
"2178","Castlevania: Circle of the Moon",0.89
"2179","Classic NES Series: The Legend of Zelda",0.89
"2180","Dissidia 012: Duodecim Final Fantasy",0.89
"2181","Fire Emblem: The Sacred Stones",0.89
"2182","Killzone: Liberation",0.89
"2183","MLB 2001",0.89
"2184","Monster 4X4: World Circuit",0.89
"2185","Nightmare Creatures",0.89
"2186","Pokemon Card GB2: Here Comes Team GR!",0.89
"2187","Seiken Densetsu 3",0.89
"2188","SingStar Anthems",0.89
"2189","Sonic Chronicles: The Dark Brotherhood",0.89
"2190","Sonic Lost World",0.89
"2191","Terminator Salvation",0.89
"2192","The Fairly Odd Parents: Shadow Showdown",0.89
"2193","The Jak and Daxter Collection",0.89
"2194","Wii Fit U",0.89
"2195","Buzz! The Mega Quiz",0.88
"2196","Cooking Mama: World Kitchen",0.88
"2197","Endless Ocean: Blue World",0.88
"2198","Freedom Fighters",0.88
"2199","Hot Shots Golf: World Invitational",0.88
"2200","Marvel vs. Capcom: Clash of Super Heroes",0.88
"2201","Metal Gear Ac!d",0.88
"2202","Ninja Gaiden 3",0.88
"2203","Phantasy Star Portable 2",0.88
"2204","Star Wars: Rebel Assault II - The Hidden Empire",0.88
"2205","The Adventures of Jimmy Neutron Boy Genius: Jet Fusion",0.88
"2206","Virtua Tennis 4",0.88
"2207","Backyard NFL Football",0.87
"2208","Cabela's Big Game Hunter 2005 Adventures",0.87
"2209","Alpha Protocol",0.87
"2210","Buzz! Master Quiz",0.87
"2211","Crimson Skies: High Road to Revenge",0.87
"2212","Derby Stallion II",0.87
"2213","Dragon Age Origins: Awakening",0.87
"2214","Enduro",0.87
"2215","Gex",0.87
"2216","Gold's Gym: Dance Workout",0.87
"2217","Kingdom Hearts Re: Chain of Memories",0.87
"2218","Lemmings",0.87
"2219","MLB 11: The Show",0.87
"2220","Muramasa: The Demon Blade",0.87
"2221","Need for Speed: V-Rally",0.87
"2222","NFL GameDay '97",0.87
"2223","NHL 2000",0.87
"2224","Nicktoons: Unite!",0.87
"2225","Ninja Gaiden Sigma 2",0.87
"2226","Persona 4: Arena",0.87
"2227","SingStar '90s",0.87
"2228","Spec Ops: Ranger Elite",0.87
"2229","Street Fighter V",0.87
"2230","Tales of Xillia 2",0.87
"2231","The House of the Dead: Overkill",0.87
"2232","The Walking Dead: Season Two",0.87
"2233","Tom Clancy's Ghost Recon: Island Thunder",0.87
"2234","Vagrant Story",0.87
"2235","Wizards of Waverly Place",0.87
"2236","The Darkness II",0.86
"2237","Thrillville",0.86
"2238","Dynasty Warriors 4: Xtreme Legends",0.86
"2239","Ford Racing",0.86
"2240","Madden Football 64",0.86
"2241","Mat Hoffman's Pro BMX 2",0.86
"2242","MLB 99",0.86
"2243","Mobile Suit Gundam",0.86
"2244","Monster Strike 3DS",0.86
"2245","SRS: Street Racing Syndicate",0.86
"2246","The Legendary Starfy",0.86
"2247","The World Ends With You",0.86
"2248","Transformers: Fall of Cybertron",0.86
"2249","Worms: Open Warfare",0.86
"2250","MX 2002 Featuring Ricky Carmichael",0.85
"2251","Purr Pals",0.85
"2252","SimAnimals",0.85
"2253","Army Men: Air Attack",0.85
"2254","Castlevania III: Dracula's Curse",0.85
"2255","F1 2014",0.85
"2256","Football Manager 2014",0.85
"2257","Karaoke Revolution Glee",0.85
"2258","Kirby: Planet Robobot",0.85
"2259","Looney Tunes: Back in Action",0.85
"2260","Madden NFL 09 All-Play",0.85
"2261","MySims SkyHeroes",0.85
"2262","Naughty Bear",0.85
"2263","NFL GameDay",0.85
"2264","Street Fighter EX3",0.85
"2265","Test Drive Unlimited",0.85
"2266","Wreckless: ThE YaKuza MisSiOns",0.85
"2267","Boxing",0.84
"2268","Viking: Battle for Asgard",0.84
"2269","Casper",0.84
"2270","Golden Sun: Dark Dawn",0.84
"2271","Harvest Moon: Tree of Tranquility",0.84
"2272","Metroid: Zero Mission",0.84
"2273","MLB 13: The Show",0.84
"2274","New Carnival Games",0.84
"2275","Petz Dogz Fashion",0.84
"2276","Rocket Power: Team Rocket Rescue",0.84
"2277","Rogue Galaxy",0.84
"2278","Spelling Challenges and more!",0.84
"2279","Time Crisis 4",0.84
"2280","Xenoblade Chronicles X",0.84
"2281","Disney's Extreme Skate Adventure",0.83
"2282","J Stars Victory Vs.",0.83
"2283","Pinball Hall of Fame: The Gottlieb Collection",0.83
"2284","Planet 51",0.83
"2285","Sly Cooper: Thieves in Time",0.83
"2286","Spider-Man: Edge of Time",0.83
"2287","2002 FIFA World Cup",0.83
"2288","Ace Combat 3: Electrosphere",0.83
"2289","Army Men: Sarge's Heroes 2",0.83
"2290","Battle of Giants: Dinosaurs",0.83
"2291","Brute Force",0.83
"2292","Dance Central 3",0.83
"2293","Dynasty Warriors 2",0.83
"2294","FIFA Soccer World Championship",0.83
"2295","I Spy: Fun House",0.83
"2296","Lizzie McGuire 2: Lizzie Diaries",0.83
"2297","MediEvil",0.83
"2298","Mega Man Legends",0.83
"2299","SimCity Creator",0.83
"2300","Sly 3: Honor Among Thieves",0.83
"2301","The Game of Life",0.83
"2302","Yu-Gi-Oh! Dark Duel Stories",0.83
"2303","Cabela's Dangerous Hunts 2009",0.82
"2304","Fist of the North Star: Ken's Rage",0.82
"2305","Ford Racing Off Road",0.82
"2306","Monopoly Party",0.82
"2307","X-Men Origins: Wolverine",0.82
"2308","Amped: Freestyle Snowboarding",0.82
"2309","Clu Clu Land",0.82
"2310","Custer's Revenge",0.82
"2311","Deca Sports 2",0.82
"2312","Enemy Territory: Quake Wars",0.82
"2313","Imagine: Rock Star",0.82
"2314","Killer Instinct Gold",0.82
"2315","MediEvil: Resurrection",0.82
"2316","Shin Megami Tensei: Persona 4",0.82
"2317","SingStar Vol. 2",0.82
"2318","Tony Hawk's Underground 2 Remix",0.82
"2319","Twisted Metal (2012)",0.82
"2320","Disney's The Little Mermaid: Ariel's Undersea Adventure",0.81
"2321","EA Sports Active NFL Training Camp",0.81
"2322","EarthBound",0.81
"2323","ESPN NBA Basketball",0.81
"2324","Jikkyou Powerful Pro Yakyuu '99 Kaimakuban",0.81
"2325","Kamaitachi no Yoru",0.81
"2326","Mat Hoffman's Pro BMX",0.81
"2327","Mega Man",0.81
"2328","NASCAR 2011: The Game",0.81
"2329","NCAA March Madness 2005",0.81
"2330","Patapon",0.81
"2331","Professor Layton vs Phoenix Wright: Ace Attorney",0.81
"2332","Street Fighter Anniversary Collection",0.81
"2333","Super Bomberman 2",0.81
"2334","Tales of Destiny II",0.81
"2335","The Chronicles of Narnia: The Lion, The Witch and The Wardrobe",0.81
"2336","The Legend of Zelda: Four Swords Adventures",0.81
"2337","The Next Tetris",0.81
"2338","The Punisher",0.81
"2339","Valkyrie Profile",0.81
"2340","WipEout Pulse",0.81
"2341","World Soccer Jikkyou Winning Eleven 3: World Cup France '98",0.81
"2342","Worms: Open Warfare 2",0.81
"2343","One Piece: Pirate Warriors 2",0.81
"2344","SplashDown",0.81
"2345","Tom Clancy's Rainbow Six: Lockdown",0.81
"2346","ABBA: You Can Dance",0.8
"2347","Batman: Arkham Origins Blackgate",0.8
"2348","Capcom's Soccer Shootout",0.8
"2349","Catz",0.8
"2350","Delta Force: Black Hawk Down",0.8
"2351","Final Fantasy Anthology",0.8
"2352","MadWorld",0.8
"2353","Mario & Sonic at the Sochi 2014 Olympic Winter Games",0.8
"2354","Monster Jam: Maximum Destruction",0.8
"2355","Moto Racer",0.8
"2356","Murdered: Soul Suspect",0.8
"2357","NBA Showtime: NBA on NBC",0.8
"2358","Peppa Pig: Fun and Games",0.8
"2359","Rock Band 4",0.8
"2360","Silent Hill: Downpour",0.8
"2361","Sonic & SEGA All-Stars Racing with Banjo-Kazooie",0.8
"2362","Star Wars Rogue Squadron III: Rebel Strike",0.8
"2363","Super Robot Taisen α",0.8
"2364","The Matrix: Path of Neo",0.8
"2365","Ed, Edd n Eddy: The Mis-Edventures",0.8
"2366","Alien",0.79
"2367","Armored Core 2",0.79
"2368","Bionicle",0.79
"2369","Crash: Twinsanity",0.79
"2370","Dance Dance Revolution SuperNOVA 2",0.79
"2371","Drawn to Life",0.79
"2372","Final Fantasy Tactics A2: Grimoire of the Rift",0.79
"2373","Ghost Squad",0.79
"2374","Harvest Moon: A Wonderful Life",0.79
"2375","Invizimals",0.79
"2376","James Bond 007: Legends",0.79
"2377","Major League Baseball Featuring Ken Griffey Jr",0.79
"2378","Mega Man 5",0.79
"2379","Metro 2033",0.79
"2380","Momotarou Dentetsu 7",0.79
"2381","Motocross Mania",0.79
"2382","Oddworld: Munch's Oddysee",0.79
"2383","Personal Trainer: Walking",0.79
"2384","PokePark 2: Wonders Beyond",0.79
"2385","Ratchet & Clank Collection",0.79
"2386","Star Ocean: The Last Hope",0.79
"2387","Star Wars The Clone Wars: Jedi Alliance",0.79
"2388","Sword Art Online: Lost Song",0.79
"2389","Too Human",0.79
"2390","Vin Diesel: Wheelman",0.79
"2391","All-Star Baseball 2002",0.78
"2392","Banjo-Kazooie: Nuts & Bolts",0.78
"2393","Battle Stations",0.78
"2394","Buzz! The Hollywood Quiz",0.78
"2395","Dancing with the Stars: We Dance!",0.78
"2396","Def Jam Icon",0.78
"2397","Disney Sing It: Family Hits",0.78
"2398","Disney TH!NK Fast: The Ultimate Trivia Showdown",0.78
"2399","Dynasty Warriors",0.78
"2400","Eternal Sonata",0.78
"2401","God of War Saga",0.78
"2402","Jr. Pac-Man",0.78
"2403","Lips",0.78
"2404","Metroid Prime Hunters",0.78
"2405","My Little Pony: Pinkie Pie's Party",0.78
"2406","NBA ShootOut 98",0.78
"2407","NFL GameDay 2002",0.78
"2408","Night at the Museum: Battle of the Smithsonian",0.78
"2409","Professor Layton and the Azran Legacy",0.78
"2410","Puzzler World",0.78
"2411","Rory McIlroy PGA Tour",0.78
"2412","Secret Agent Barbie: Royal Jewels Mission",0.78
"2413","SingStar Take That",0.78
"2414","Super Robot Taisen F Kanketsuhen",0.78
"2415","Terminator 3: Rise of the Machines",0.78
"2416","The 7th Guest",0.78
"2417","The Fairly Odd Parents: Breakin Da Rules",0.78
"2418","Torneko no Daibouken: Fushigi no Dungeon",0.78
"2419","We Sing",0.78
"2420","Yars' Revenge",0.78
"2421","Air Raid",0.77
"2422","American Idol",0.77
"2423","Andretti Racing",0.77
"2424","Backyard Wrestling: Don't Try This at Home",0.77
"2425","Brothers In Arms: Earned in Blood",0.77
"2426","Cabela's Legendary Adventures",0.77
"2427","Caesars Palace 2000: Millennium Gold Edition",0.77
"2428","Conker's Bad Fur Day",0.77
"2429","Crystal Castles",0.77
"2430","Disney Sing It: Party Hits",0.77
"2431","Donkey Kong Country 3",0.77
"2432","Dragon Warrior I&II",0.77
"2433","Dynasty Warriors 8",0.77
"2434","Freedom Wars",0.77
"2435","Galaxian",0.77
"2436","Maximo: Ghosts to Glory",0.77
"2437","My Baby Girl",0.77
"2438","NCAA March Madness 07",0.77
"2439","Perfect Dark Zero",0.77
"2440","Pokemon Dash",0.77
"2441","Puzzle Quest: Challenge of the Warlords",0.77
"2442","Robotech: Battlecry",0.77
"2443","Skate it",0.77
"2444","Star Wars Episode II: Attack of the Clones",0.77
"2445","Twisted Metal: Head On",0.77
"2446","Unlimited Saga",0.77
"2447","Ace Attorney Investigations: Miles Edgeworth",0.76
"2448","Bratz: Girlz Really Rock",0.76
"2449","DC Universe Online",0.76
"2450","Disgaea 4: A Promise Unforgotten",0.76
"2451","Fantastic Four: Rise of the Silver Surfer",0.76
"2452","Final Fantasy Legend III",0.76
"2453","Formula 1",0.76
"2454","Genji: Days of the Blade",0.76
"2455","Harvest Moon: Animal Parade",0.76
"2456","ISS Pro Evolution",0.76
"2457","Lords of the Fallen",0.76
"2458","Lunar: Silver Star Story Complete",0.76
"2459","Mega Man Battle Network 6: Cybeast Falzar / Gregar",0.76
"2460","NASCAR 08",0.76
"2461","Raving Rabbids: Travel in Time",0.76
"2462","Shin Megami Tensei: Devil Summoner - Soul Hackers",0.76
"2463","Super Monkey Ball: Touch & Roll",0.76
"2464","Syphon Filter: The Omega Strain",0.76
"2465","Taiko no Tatsujin: Tatakon de Dodon ga Don",0.76
"2466","That's So Raven",0.76
"2467","Total War: Rome II",0.76
"2468","Bratz: The Movie",0.75
"2469","Capcom vs. SNK 2: Mark of the Millennium 2001",0.75
"2470","Coded Arms",0.75
"2471","Conflict: Vietnam",0.75
"2472","FIFA Street 2",0.75
"2473","GRID 2",0.75
"2474","Jaws Unleashed",0.75
"2475","Mega Man X5",0.75
"2476","Monster Jam",0.75
"2477","NBA 06",0.75
"2478","Rare Replay",0.75
"2479","Robots",0.75
"2480","Scooby-Doo! Unmasked",0.75
"2481","Spectrobes",0.75
"2482","Street Fighter EX Plus Alpha",0.75
"2483","Tearaway",0.75
"2484","Tiger Woods PGA Tour 14",0.75
"2485","Zone of the Enders",0.75
"2486","Alone in the Dark",0.74
"2487","BloodRayne",0.74
"2488","Cool Boarders 2001",0.74
"2489","EA Sports MMA",0.74
"2490","FIFA Soccer",0.74
"2491","Final Fantasy Crystal Chronicles: Echoes of Time",0.74
"2492","Gex 3: Deep Cover Gecko",0.74
"2493","Harvest Moon DS: Island of Happiness",0.74
"2494","Hot Wheels Velocity X",0.74
"2495","Jampack Summer 2001",0.74
"2496","Jet Moto 3",0.74
"2497","Jump Ultimate Stars",0.74
"2498","Mario & Luigi: Paper Jam",0.74
"2499","Mortal Kombat: Unchained",0.74
"2500","Namco Museum Remix",0.74
"2501","Paws & Claws: Pet Vet",0.74
"2502","Rayman Arena",0.74
"2503","Sword of Mana",0.74
"2504","Tiger Woods PGA Tour 2001",0.74
"2505","Unreal Championship",0.74
"2506","Yu-Gi-Oh! Dungeon Dice Monsters",0.74
"2507","Berzerk",0.73
"2508","Beyblade VForce: Ultimate Blader Jam",0.73
"2509","BlazBlue: Continuum Shift",0.73
"2510","Classic NES Series: Donkey Kong",0.73
"2511","Croc 2",0.73
"2512","Dragon Ball Z: Ultime Menace",0.73
"2513","Dynasty Warriors: Gundam 3",0.73
"2514","FIFA: Road to World Cup 98",0.73
"2515","Imagine: Interior Designer",0.73
"2516","Just Dance Wii",0.73
"2517","Katamari Damacy",0.73
"2518","Kirby: Canvas Curse",0.73
"2519","Legacy of Kain: Defiance",0.73
"2520","Moshi Monsters: Moshlings Theme Park",0.73
"2521","NCAA March Madness 06",0.73
"2522","NHL 2K6",0.73
"2523","Practise English!",0.73
"2524","Secret Agent Clank",0.73
"2525","Secret Weapons Over Normandy",0.73
"2526","Space Invaders",0.73
"2527","Star Ocean: The Last Hope International",0.73
"2528","Way of the Samurai 3",0.73
"2529","Sesame Street: Elmo's A-to-Zoo Adventure",0.72
"2530","Star Wars: Republic Commando",0.72
"2531","Barbie: Jet, Set & Style!",0.72
"2532","Crysis",0.72
"2533","Dawn of Discovery",0.72
"2534","Fear Effect",0.72
"2535","FIFA Street 3",0.72
"2536","God Eater",0.72
"2537","Hidden Mysteries: Titanic - Secrets of the Fateful Voyage",0.72
"2538","Jampack Winter 2001",0.72
"2539","Kangaroo",0.72
"2540","Kouchuu Ouja Mushi King",0.72
"2541","Kung Fu Panda 2",0.72
"2542","Mario & Sonic at the Rio 2016 Olympic Games",0.72
"2543","Mobile Suit Gundam: Encounters in Space",0.72
"2544","NFL Blitz 20-03",0.72
"2545","Samurai Warriors 2",0.72
"2546","SD Gundam G Generation",0.72
"2547","Strike Force Bowling",0.72
"2548","Style Savvy: Trendsetters",0.72
"2549","Super Monkey Ball Jr.",0.72
"2550","Test Drive 6",0.72
"2551","Theme Park",0.72
"2552","Van Helsing",0.72
"2553","X-Men: Mutant Academy 2",0.72
"2554","Arena Football",0.71
"2555","Battle Arena Toshinden 2",0.71
"2556","Blast Corps",0.71
"2557","Conker: Live And Reloaded",0.71
"2558","Doom 3: Resurrection of Evil",0.71
"2559","Dragon Quest Swords: The Masked Queen and the Tower of Mirrors",0.71
"2560","Final Fantasy X/X-2 HD Remaster",0.71
"2561","Godzilla: Destroy All Monsters Melee",0.71
"2562","Juiced",0.71
"2563","Pac-Man World 3",0.71
"2564","Persona Q: Shadow of the Labyrinth",0.71
"2565","Quake II",0.71
"2566","Ratchet & Clank: Into the Nexus",0.71
"2567","Resident Evil: Survivor",0.71
"2568","Rhythm Heaven: The Best+",0.71
"2569","Saban's Power Rangers: Lightspeed Rescue",0.71
"2570","Scooby-Doo 2: Monsters Unleashed",0.71
"2571","Silent Hill 3",0.71
"2572","Sphinx and the Cursed Mummy",0.71
"2573","Super Trucks Racing",0.71
"2574","The Lord of the Rings: Aragorn's Quest",0.71
"2575","Two Worlds",0.71
"2576","Virtua Fighter 4: Evolution",0.71
"2577","WarioWare, Inc.: Mega Party Game$",0.71
"2578","X-Men: Next Dimension",0.71
"2579","Yu-Gi-Oh! The Falsebound Kingdom",0.71
"2580","Advance Wars",0.7
"2581","All-Star Baseball 2004",0.7
"2582","Ape Escape: On the Loose",0.7
"2583","Bass Pro Shops: The Strike",0.7
"2584","Book of Spells",0.7
"2585","Chocobo's Dungeon 2",0.7
"2586","Classic NES Series: Zelda II: The Adventure of Link",0.7
"2587","Command & Conquer: Red Alert Retaliation",0.7
"2588","Disney's Planes",0.7
"2589","ECW Hardcore Revolution",0.7
"2590","F-14 Tomcat",0.7
"2591","Fire Emblem: Monsh? no Nazo",0.7
"2592","Happy Feet",0.7
"2593","Hell's Kitchen: The Game",0.7
"2594","Infinite Undiscovery",0.7
"2595","Jade Empire",0.7
"2596","Lalaloopsy",0.7
"2597","Minute to Win It",0.7
"2598","Mobile Suit Gundam: Journey to Jaburo",0.7
"2599","MotionSports",0.7
"2600","Naruto Shippuden: Ultimate Ninja Storm Revolution",0.7
"2601","NCAA Football 2001",0.7
"2602","NCAA Football 98",0.7
"2603","Star Wars: Obi-Wan",0.7
"2604","Super Bomberman 3",0.7
"2605","The Last Remnant",0.7
"2606","The Sims 2: Apartment Pets",0.7
"2607","Trials Fusion",0.7
"2608","Looney Tunes: Acme Arsenal",0.69
"2609","Transformer: Rise of the Dark Spark",0.69
"2610","Dark Void",0.69
"2611","God Eater 2",0.69
"2612","Halo 2 Multiplayer Map Pack",0.69
"2613","J-League Soccer: Prime Goal",0.69
"2614","King Kong",0.69
"2615","Mappy",0.69
"2616","Mario Pinball Land",0.69
"2617","Metal Gear Solid: Portable Ops Plus",0.69
"2618","Moto Racer 2",0.69
"2619","MX vs. ATV Unleashed: On the Edge",0.69
"2620","NFL Xtreme",0.69
"2621","Nintendo Presents: New Style Boutique 2 - Fashion Forward",0.69
"2622","Operation Flashpoint: Red River",0.69
"2623","Silent Hill 4: The Room",0.69
"2624","Tales of Hearts",0.69
"2625","The Sims: Medieval",0.69
"2626","The Sly Collection",0.69
"2627","Thor: God of Thunder",0.69
"2628",".hack//Mutation Part 2",0.68
"2629","Bushido Blade 2",0.68
"2630","Call of Juarez: The Cartel",0.68
"2631","Country Dance",0.68
"2632","Fossil Fighters: Champions",0.68
"2633","Hidden Objects: Mystery Stories",0.68
"2634","Hot Shots Golf: Open Tee 2",0.68
"2635","Kirby's Dream Collection: Special Edition",0.68
"2636","Naruto: Clash of Ninja",0.68
"2637","NHL 2005",0.68
"2638","Power Rangers Samurai",0.68
"2639","Red Steel",0.68
"2640","Spawn: Armageddon",0.68
"2641","Star Wars: Masters of Teras Kasi",0.68
"2642","Suikoden II",0.68
"2643","The Last Story",0.68
"2644","Tourist Trophy: The Real Riding Simulator",0.68
"2645","Chaotic: Shadow Warriors",0.68
"2646","Grease",0.68
"2647","My Horse & Me",0.68
"2648","SAW",0.68
"2649","X-Men vs. Street Fighter",0.68
"2650","100 Classic Books",0.67
"2651","Adventures of Tron",0.67
"2652","Armored Core 3",0.67
"2653","Child of Eden",0.67
"2654","Club Penguin: Elite Penguin Force - Herbert's Revenge",0.67
"2655","Command & Conquer",0.67
"2656","Contra: Legacy of War",0.67
"2657","Crafting Mama",0.67
"2658","Dead Rising 2: Off the Record",0.67
"2659","Dr. Seuss' The Cat in the Hat",0.67
"2660","Fight Night Round 2004",0.67
"2661","Final Fantasy Crystal Chronicles: Ring of Fates",0.67
"2662","NCAA Basketball 09",0.67
"2663","Overlord II",0.67
"2664","Phoenix Wright: Ace Attorney - Trials and Tribulations",0.67
"2665","Pro Yakyuu Team o Tsukurou!",0.67
"2666","Return to Castle Wolfenstein: Tides of War",0.67
"2667","RIFT",0.67
"2668","Spice World",0.67
"2669","Street Sk8er",0.67
"2670","Summer Sports: Paradise Island (Others sales)",0.67
"2671","Taiko no Tatsujin Wii",0.67
"2672","The Biggest Loser: Challenge",0.67
"2673","The Sims 3: High-End Loft Stuff",0.67
"2674","TV Show King Party",0.67
"2675","Virtua Tennis: World Tour (US & Others sales)",0.67
"2676","Wild ARMs 2",0.67
"2677","Zaidan Houjin Nippon Kanji Nouryoko Kentei Kyoukai Kounin: KanKen DS",0.67
"2678","College Hoops 2K8",0.67
"2679","Dynasty Warriors Gundam",0.67
"2680","Grandia",0.67
"2681","Rock Band Track Pack Volume 2",0.67
"2682","Wanted: Weapons of Fate",0.67
"2683","Animaniacs Ten Pin Alley",0.66
"2684","Barbie: Groom and Glam Pups",0.66
"2685","Capcom Classics Collection",0.66
"2686","Darkstone",0.66
"2687","Disney's Kim Possible 2: Drakken's Demise",0.66
"2688","Dragon Quest Monsters: Caravan Heart",0.66
"2689","Gods Eater Burst",0.66
"2690","Jikkyou World Soccer 2000 Final Edition",0.66
"2691","Keystone Kapers",0.66
"2692","Legend of Legaia",0.66
"2693","MLB 2004",0.66
"2694","MLB SlugFest 20-04",0.66
"2695","Napoleon: Total War",0.66
"2696","Naruto Shippuden: Ultimate Ninja 4",0.66
"2697","NCAA March Madness 2003",0.66
"2698","New Play Control! Pikmin",0.66
"2699","NPPL: Championship Paintball 2009",0.66
"2700","Pro Pinball: Big Race USA",0.66
"2701","Puzzler Brain Games",0.66
"2702","Romance of the Three Kingdoms IV: Wall of Fire",0.66
"2703","Sakura Wars",0.66
"2704","Scene It? Box Office Smash",0.66
